frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,123.8,8,1048,970,,,,,,,,,,,,,,,,57,522,468,34.59610147673757,31.01719442741989,,,,,,,,,,,,,
1,123.8,,,,,,,,,,,,,,,,,,,72,1013,537,,,,,,,,,,,,,,,
2,231.7,,,,,,,,,,,,,,,,,,,71,1014,538,,,,,,,,,,,,,,,
3,254.8,,,,,,,,,,,,,,,,,,,70,521,468,34.52982542026873,31.01719442741989,,,,,,,,,,,,,
28,1213.3,15,830,192,55.009126869142115,12.725002842018418,0.40870253535944256,0.0,4.990262947001742,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,-0.40870253535939877,0.0,-4.990262947001207,,,,,,,,,,,,,,,,,,
29,1249.4,15,830,192,55.009126869142115,12.725002842018418,-0.19877384355584657,0.0,2.4285136659236017,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.19877384355582525,0.0,-2.428513665923341,,,,,,,,,,,,,,,,,,
30,1281.6,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,-0.17405035091738502,0.0,-2.6331369276457677,,,,,,,,,,,,,,,,,,
31,1313.8,15,831,192,55.075402925610966,12.725002842018418,0.3270858338582604,0.0,-6.6144759121993975,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,-0.4384693955991137,0.0,4.397887618847678,,,,,,,,,,,,,,,,,,
32,1413.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
33,1449.4,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,-0.1739766862997694,0.0,2.634014932623309,,,,,,,,,,,,,,,,,,
34,1513.2,15,830,192,55.009126869142115,12.725002842018418,-0.11108841135312437,0.0,2.219548678384105,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
35,1549.7,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,-0.3653228097075018,0.0,-5.348796628221105,,,,,,,,,,,,,,,,,,
36,1581.5,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,0.37293183341913466,0.0,5.646204896580393,,,,,,,,,,,,,,,,,,
37,1613.3,15,830,192,55.009126869142115,12.725002842018418,0.331545889681759,0.0,6.6242935001350505,0.0,13,966,642,64.02267054890517,42.549228252999086,0.0,0.33154588968172344,0.0,6.62429350013434,,,,,,,,,,,,,,,,,,
38,1653.0,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,642,64.02267054890517,42.549228252999086,0.3567294865662518,0.047352140378807764,6.90666963342211,13.338631092622064,,,,,,,,,,,,,,,,,,
39,1682.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.3259545048348805,0.0,-6.578294749442583,,,,,,,,,,,,,,,,,,
40,1713.3,15,831,192,55.075402925610966,12.725002842018418,0.0,0.0,-13.255211293770229,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,-13.255211293768808,,,,,,,,,,,,,,,,,,
41,1749.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,967,643,64.088946605374,42.61550430946793,0.025516307256808233,0.3509695847210581,-13.792598517194325,-7.0264181125337055,,,,,,,,,,,,,,,,,,
42,1781.4,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,-0.298677642325847,0.0,-6.027803074184592,,,,,,,,,,,,,,,,,,
43,1813.3,15,830,192,55.009126869142115,12.725002842018418,-0.336116619548782,0.0,6.532878902794591,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,-0.018678383261385104,0.0,12.881643628541108,,,,,,,,,,,,,,,,,,
44,1849.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,-0.3775048494672244,-0.21655285827948684,5.724106891087554,-4.33539255814789,,,,,,,,,,,,,,,,,,
45,1888.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,-0.33913533511217014,0.0,5.270168377811499,,,,,,,,,,,,,,,,,,
46,1916.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.3633703793565597,0.0,-5.456011702050444,,,,,,,,,,,,,,,,,,
47,1981.0,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,0.11062750731032753,0.0,9.296429185741736,,,,,,,,,,,,,,,,,,
48,2016.9,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,642,64.02267054890517,42.549228252999086,0.0,0.39076288081308125,0.0,6.072461240296521,,,,,,,,,,,,,,,,,,
49,2049.4,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.35984827957259485,0.35984827957263343,5.403127320909832,5.40312732091041,,,,,,,,,,,,,,,,,,
50,2089.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,-0.10417383360773444,0.0,-13.27055205194085,,,,,,,,,,,,,,,,,,
51,2113.7,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.34704363465064486,0.0,-6.975751450264219,,,,,,,,,,,,,,,,,,
52,2153.0,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,967,644,64.088946605374,42.681780365936774,-0.032440683306071236,-0.0324406833060747,-12.976273322428487,-12.97627332242988,,,,,,,,,,,,,,,,,,
