Time(Epoch),Time(seconds),Load Cell (lbf),Run Tank Pressure (psig),Combustion Chamber Pressure (psig),Supply Tank Pressure (psig)
3716132449.935,2.56400012969971,-85.8055,761.357777,0.42977,869.004228
3716132449.962,2.59100008010864,-84.449951,761.059648,-0.096492,869.214557
3716132449.995,2.62400007247925,-87.161009,760.971935,-0.552588,869.302159
3716132450.024,2.65300035476685,-89.194313,761.30516,-0.464875,868.986666
3716132450.053,2.68200016021729,-84.449951,761.813758,-0.131576,869.179432
3716132450.083,2.71200037002563,-83.094442,761.340256,-0.00878,869.284596
3716132450.115,2.74399995803833,-85.8055,760.796562,0.219268,869.302159
3716132450.145,2.77400016784668,-87.161009,761.340256,-0.219289,869.09183
3716132450.174,2.80299997329712,-91.227616,761.147308,0.008759,869.09183
3716132450.204,2.83300018310547,-85.127706,761.726098,0.096471,869.267139
3716132450.234,2.86300039291382,-82.416648,761.112212,0.254352,869.442343
3716132450.266,2.89499998092651,-82.416648,761.44549,-0.149121,869.424886
3716132450.296,2.92500019073486,-86.483255,761.392873,-0.464875,869.056811
3716132450.325,2.9539999961853,-90.549861,761.340256,-0.6403,868.899064
3716132450.354,2.9830002784729,-83.772197,761.655906,-0.447336,869.074268
3716132450.384,3.01300001144409,-84.449951,761.217447,0.605196,869.039248
3716132450.413,3.04200029373169,-84.449951,761.340256,0.1491,869.337178
3716132450.441,3.07000017166138,-87.161009,761.515629,-0.412253,869.021685
3716132450.471,3.10000038146973,-84.449951,761.673481,-0.359624,869.249577
3716132450.502,3.13100004196167,-83.094442,761.392873,0.184184,868.986666
3716132450.531,3.16000032424927,-87.161009,761.463012,-0.219289,869.144412
3716132450.562,3.19099998474121,-86.483255,760.989456,-0.692923,869.109393
3716132450.592,3.22100019454956,-87.161009,761.620863,-0.728013,868.741318
3716132450.622,3.25100040435791,-83.094442,761.235021,0.184184,869.021685
3716132450.653,3.28200006484985,-84.449951,761.585768,-0.184205,868.986666
3716132450.684,3.31300020217895,-81.738893,761.094691,0.447315,869.407323
3716132450.715,3.34400033950806,-86.483255,761.375299,0.026304,869.459905
3716132450.744,3.3730001449585,-87.838804,761.007031,-0.184205,869.284596
3716132450.775,3.4040002822876,-90.549861,761.16483,-0.447336,868.899064
3716132450.803,3.43200016021729,-84.449951,762.129461,0.306974,869.004228
3716132450.833,3.46200037002563,-81.738893,761.427916,0.11401,869.284596
3716132450.863,3.49200010299683,-85.8055,760.866701,-0.342085,869.109393
3716132450.892,3.52100038528442,-87.838804,761.235021,-0.622755,869.09183
3716132450.922,3.55100011825562,-85.127706,761.16483,-0.078947,869.179432
3716132450.952,3.58100032806396,-83.772197,761.322681,-0.271911,869.302159
3716132450.98,3.60900020599365,-85.127706,761.199925,-0.377169,869.424886
3716132451.01,3.639000415802,-85.8055,761.129787,-0.570133,869.144412
3716132451.04,3.66900014877319,-88.516558,761.410394,-0.219289,869.074268
3716132451.073,3.7020001411438,-87.161009,760.796562,-0.271911,869.039248
3716132451.102,3.7310004234314,-85.8055,761.691002,-0.377169,869.109393
3716132451.13,3.75900030136108,-86.483255,761.024552,-0.00878,869.319722
3716132451.162,3.79100036621094,-85.8055,760.708849,-0.412253,869.12685
3716132451.194,3.82299995422363,-89.194313,761.568246,-0.605217,869.284596
3716132451.222,3.85100030899048,-89.194313,761.129787,0.27189,868.723755
3716132451.253,3.88199996948242,-83.094442,761.463012,0.061388,869.109393
3716132451.282,3.91100025177002,-79.027835,761.024552,-0.535049,869.670234
3716132451.312,3.94099998474121,-87.161009,760.971935,-0.254373,869.161975
3716132451.341,3.97000026702881,-87.161009,761.498054,-0.622755,868.881501
3716132451.374,4.00300025939941,-88.516558,761.182404,-0.289456,869.021685
3716132451.403,4.03200006484985,-86.483255,761.638385,-0.078947,869.179432
3716132451.435,4.06400012969971,-81.061139,761.410394,0.412232,869.319722
3716132451.463,4.09200000762939,-86.483255,761.094691,-0.32454,869.53005
3716132451.492,4.12100028991699,-87.161009,761.059648,-0.710468,869.319722
3716132451.521,4.15000009536743,-87.838804,761.252543,0.026304,868.969103
3716132451.55,4.17900037765503,-81.738893,761.480533,-0.043864,869.477468
3716132451.581,4.21000003814697,-81.061139,761.252543,-0.377169,869.740273
3716132451.612,4.24100017547607,-85.127706,760.72637,-0.464875,869.354741
3716132451.643,4.27200031280518,-89.194313,761.550672,-0.622755,868.934084
3716132451.672,4.30100011825562,-83.094442,761.813758,-0.429791,869.109393
3716132451.702,4.33100032806397,-85.127706,761.463012,-0.219289,869.109393
3716132451.73,4.35900020599365,-84.449951,761.252543,-0.131576,869.354741
3716132451.761,4.39000034332275,-87.161009,760.814083,0.219268,869.319722
3716132451.792,4.4210000038147,-89.872067,761.375299,-0.833264,869.144412
3716132451.822,4.45100021362305,-87.161009,760.989456,-0.184205,869.214557
3716132451.851,4.48000001907349,-83.094442,761.498054,0.096471,869.459905
3716132451.882,4.51100015640259,-81.061139,761.077169,0.096471,869.89802
3716132451.912,4.54100036621094,-86.483255,761.094691,0.043843,869.512488
3716132451.943,4.57200002670288,-88.516558,761.375299,-0.692923,869.354741
3716132451.972,4.60100030899048,-87.838804,761.357777,-0.271911,868.916521
3716132452.001,4.63000011444092,-84.449951,761.498054,0.289435,869.442343
3716132452.033,4.66200017929077,-82.416648,761.463012,0.236806,869.740273
3716132452.065,4.69400024414063,-85.8055,761.199925,0.447315,869.407323
3716132452.096,4.72500038146973,-85.8055,761.252543,-0.289456,869.424886
3716132452.125,4.75400018692017,-86.483255,761.199925,-0.675384,869.144412
3716132452.155,4.78400039672852,-87.838804,761.217447,-0.394708,868.653716
3716132452.186,4.81500005722046,-83.772197,761.936514,-0.289456,869.284596
3716132452.214,4.84300041198731,-81.061139,761.550672,0.166639,869.652671
3716132452.243,4.87200021743774,-88.516558,760.621189,-0.184205,869.354741
3716132452.273,4.90199995040894,-91.227616,760.884222,-0.517504,868.671173
3716132452.303,4.93200016021729,-82.416648,761.708523,0.324519,869.284596
3716132452.335,4.96400022506714,-83.094442,761.585768,-0.429791,869.196995
3716132452.366,4.99500036239624,-80.383384,761.007031,-0.078947,869.442343
3716132452.396,5.02500009536743,-87.838804,760.919318,0.043843,869.267139
3716132452.425,5.05400037765503,-88.516558,761.480533,-0.464875,869.214557
3716132452.454,5.08300018310547,-83.094442,761.217447,0.008759,869.512488
3716132452.484,5.11300039291382,-83.772197,761.901471,0.447315,869.372304
3716132452.511,5.14000034332275,-87.161009,760.971935,-0.657839,869.267139
3716132452.542,5.1710000038147,-89.872067,761.603289,-0.710468,869.074268
3716132452.572,5.20100021362305,-86.483255,761.235021,-0.184205,869.12685
3716132452.602,5.2310004234314,-85.8055,761.989131,0.008759,869.12685
3716132452.63,5.25900030136108,-81.061139,761.340256,-0.149121,869.740273
3716132452.661,5.28999996185303,-87.161009,761.007031,-0.48242,869.372304
3716132452.691,5.32000017166138,-87.161009,761.427916,-0.815719,869.004228
3716132452.721,5.35000038146973,-85.8055,761.287638,-0.078947,869.056811
3716132452.75,5.37900018692017,-84.449951,761.357777,-0.078947,869.284596
3716132452.781,5.41000032424927,-83.094442,761.042074,0.096471,869.652671
3716132452.81,5.43900012969971,-86.483255,761.024552,-0.447336,869.337178
3716132452.842,5.47100019454956,-88.516558,761.270064,-0.657839,869.372304
3716132452.872,5.50100040435791,-86.483255,761.129787,-0.184205,868.969103
3716132452.9,5.5290002822876,-81.738893,761.357777,-0.219289,869.179432
3716132452.93,5.55900001525879,-85.127706,761.112212,-0.271911,869.232014
3716132452.962,5.59100008010864,-85.127706,760.761466,-0.552588,869.267139
3716132452.993,5.62200021743774,-87.838804,761.217447,-0.219289,868.864045
3716132453.022,5.65100002288818,-88.516558,761.077169,-0.061409,868.618591
3716132453.051,5.68000030517578,-84.449951,761.410394,-0.026325,869.232014
3716132453.082,5.71099996566772,-80.383384,761.182404,-0.201744,869.389761
3716132453.113,5.74200010299683,-85.127706,761.322681,0.131555,869.196995
3716132453.141,5.76999998092651,-89.194313,761.550672,-0.48242,868.916521
3716132453.172,5.80100011825562,-85.8055,761.340256,-0.00878,869.249577
3716132453.202,5.83100032806397,-83.772197,761.44549,0.570112,869.302159
3716132453.232,5.86100006103516,-80.383384,761.147308,-0.412253,869.757836
3716132453.262,5.89100027084351,-86.483255,760.814083,-0.307002,869.424886
3716132453.291,5.92000007629395,-89.872067,761.147308,-0.499959,869.09183
3716132453.321,5.9500002861023,-85.127706,761.44549,0.254352,868.934084
3716132453.351,5.98000001907349,-83.772197,761.059648,0.131555,869.459905
3716132453.382,6.01100015640259,-79.70559,761.235021,-0.377169,869.792855
3716132453.412,6.04100036621094,-85.127706,760.673806,0.306974,869.354741
3716132453.442,6.07100009918213,-87.838804,761.077169,-0.833264,869.337178
3716132453.472,6.10100030899048,-89.872067,761.340256,0.078926,868.7939
3716132453.503,6.13199996948242,-85.127706,761.673481,0.061388,869.196995
3716132453.532,6.16100025177002,-83.094442,761.182404,0.657818,869.635109
3716132453.564,6.19300031661987,-87.161009,761.252543,-0.447336,869.337178
3716132453.596,6.22500038146973,-87.161009,761.077169,0.1491,869.459905
3716132453.627,6.25600004196167,-87.161009,761.217447,-0.219289,869.494925
3716132453.657,6.28600025177002,-91.227616,761.322681,0.11401,869.144412
3716132453.687,6.31599998474121,-83.094442,761.655906,-0.517504,869.407323
3716132453.718,6.34700012207031,-82.416648,761.603289,0.236806,869.196995
3716132453.746,6.375,-85.8055,761.129787,-0.412253,869.56507
3716132453.774,6.40300035476685,-89.872067,761.463012,0.289435,868.916521
3716132453.802,6.43100023269653,-84.449951,761.550672,-0.32454,869.494925
3716132453.832,6.46099996566772,-81.061139,761.024552,0.289435,869.389761
3716132453.864,6.49300003051758,-86.483255,761.077169,0.254352,869.407323
3716132453.894,6.52300024032593,-88.516558,760.936839,-0.710468,869.494925
3716132453.921,6.55000019073486,-82.416648,761.585768,0.078926,869.232014
3716132453.951,6.58000040054321,-85.8055,761.515629,-0.114038,869.582632
3716132453.983,6.61199998855591,-83.094442,761.550672,-0.026325,869.652671
3716132454.012,6.64100027084351,-87.161009,761.042074,-0.499959,869.284596
3716132454.04,6.66900014877319,-89.194313,761.515629,-0.149121,869.389761
3716132454.071,6.7000002861023,-85.8055,761.392873,0.11401,869.12685
3716132454.102,6.7310004234314,-85.127706,762.059323,-0.32454,869.214557
3716132454.132,6.76100015640259,-81.061139,761.199925,0.061388,869.705254
3716132454.162,6.79100036621094,-85.127706,761.392873,-0.219289,869.670234
3716132454.193,6.82200002670288,-89.194313,761.042074,-0.412253,869.179432
3716132454.225,6.85400009155273,-89.194313,761.568246,-0.850803,868.846482
3716132454.256,6.88500022888184,-89.194313,761.270064,0.096471,869.267139
3716132454.287,6.91600036621094,-85.127706,761.410394,-0.114038,869.12685
3716132454.316,6.94500017166138,-81.738893,761.16483,0.061388,869.617652
3716132454.346,6.97500038146973,-85.8055,761.322681,0.201723,869.56507
3716132454.378,7.00699996948242,-87.161009,761.463012,-0.184205,869.319722
3716132454.407,7.03600025177002,-88.516558,761.30516,-0.342085,869.196995
3716132454.436,7.06500005722046,-84.449951,761.585768,-0.236827,869.12685
3716132454.466,7.09500026702881,-83.772197,761.094691,0.254352,869.424886
3716132454.496,7.125,-87.161009,761.007031,-0.394708,869.494925
3716132454.527,7.1560001373291,-88.516558,761.357777,-0.254373,869.53005
3716132454.558,7.1870002746582,-88.516558,761.287638,-0.48242,869.074268
3716132454.588,7.21700000762939,-84.449951,760.919318,-0.535049,869.09183
3716132454.617,7.24600028991699,-85.8055,761.655906,0.219268,869.232014
3716132454.648,7.27699995040894,-79.70559,761.375299,-0.377169,869.687691
3716132454.678,7.30700016021729,-84.449951,761.357777,0.026304,869.302159
3716132454.708,7.33700037002564,-89.194313,761.322681,-0.535049,869.056811
3716132454.737,7.36600017547607,-86.483255,761.691002,-0.394708,869.372304
3716132454.768,7.39700031280518,-83.772197,761.831279,-0.096492,869.284596
3716132454.797,7.42600011825562,-81.738893,761.112212,-0.114038,869.722816
3716132454.83,7.45900011062622,-85.8055,761.287638,-0.429791,869.372304
3716132454.859,7.48800039291382,-86.483255,760.989456,-0.605217,869.337178
3716132454.891,7.51999998092651,-90.549861,761.252543,-0.00878,869.09183
3716132454.921,7.55000019073486,-87.161009,761.182404,0.359603,869.337178
3716132454.951,7.58000040054321,-83.772197,761.778715,-0.114038,869.372304
3716132454.982,7.61100006103516,-81.061139,761.287638,-0.149121,869.652671
3716132455.011,7.64000034332275,-85.127706,761.007031,-0.447336,869.372304
3716132455.04,7.66900014877319,-88.516558,761.620863,-0.570133,869.284596
3716132455.069,7.69799995422363,-85.127706,761.761141,-0.00878,869.792855
3716132455.099,7.72800016403198,-80.383384,761.515629,0.11401,869.933145
3716132455.13,7.75900030136108,-87.161009,761.44549,-0.307002,869.389761
3716132455.16,7.78900003433228,-87.838804,760.778987,-0.271911,869.547507
3716132455.188,7.81700038909912,-90.549861,761.024552,-0.271911,869.039248
3716132455.216,7.84500026702881,-81.738893,761.357777,-0.043864,869.494925
3716132455.245,7.87400007247925,-85.127706,760.989456,-0.026325,869.600089
3716132455.276,7.90500020980835,-85.8055,761.44549,-0.342085,869.249577
3716132455.306,7.9350004196167,-91.227616,761.761141,-0.236827,868.776337
3716132455.337,7.96600008010864,-83.772197,761.954088,0.078926,869.547507
3716132455.368,7.99700021743774,-83.772197,761.550672,0.815698,869.880563
3716132455.395,8.02400016784668,-85.8055,761.340256,0.026304,869.547507
3716132455.425,8.05400037765503,-89.872067,761.603289,-0.236827,869.459905
3716132455.456,8.08500003814697,-87.838804,761.392873,-0.429791,868.723755
3716132455.484,8.11300039291382,-83.772197,762.059323,-0.201744,869.337178
3716132455.513,8.14200019836426,-80.383384,761.16483,-0.254373,869.89802
3716132455.543,8.17200040817261,-88.516558,761.182404,-0.710468,869.354741
3716132455.572,8.20100021362305,-84.449951,761.550672,-0.096492,869.109393
3716132455.602,8.2310004234314,-83.094442,761.655906,0.166639,869.424886
3716132455.633,8.26200008392334,-83.094442,761.287638,0.1491,869.600089
3716132455.662,8.29100036621094,-84.449951,761.16483,-0.377169,869.810418
3716132455.692,8.32100009918213,-85.8055,760.901796,-0.114038,869.407323
3716132455.721,8.35000038146973,-88.516558,761.287638,-0.342085,868.934084
3716132455.752,8.38100004196167,-83.772197,761.585768,-0.184205,869.302159
3716132455.781,8.41000032424927,-79.70559,761.392873,-0.254373,869.722816
3716132455.812,8.44099998474121,-87.161009,761.217447,0.201723,869.372304
3716132455.842,8.47100019454956,-88.516558,761.235021,-0.254373,869.214557
3716132455.87,8.49900007247925,-83.094442,761.252543,-0.00878,869.249577
3716132455.901,8.53000020980835,-84.449951,761.410394,0.026304,869.249577
3716132455.936,8.56500005722046,-83.772197,761.620863,0.078926,869.214557
3716132455.965,8.59400033950806,-81.738893,761.30516,-0.219289,869.705254
3716132455.994,8.6230001449585,-85.127706,761.16483,-0.342085,869.389761
3716132456.023,8.65199995040894,-89.194313,760.796562,-0.307002,869.196995
3716132456.054,8.68300008773804,-84.449951,761.30516,0.043843,869.407323
3716132456.083,8.71200037002564,-83.772197,761.252543,-0.026325,869.512488
3716132456.112,8.74100017547607,-84.449951,761.182404,0.078926,869.284596
3716132456.143,8.77200031280518,-87.838804,761.252543,-0.219289,869.477468
3716132456.172,8.80100011825562,-89.872067,761.147308,-0.00878,869.214557
3716132456.201,8.83000040054321,-83.772197,761.954088,0.236806,869.214557
3716132456.231,8.8600001335144,-79.70559,761.182404,-0.219289,870.160931
3716132456.263,8.89200019836426,-85.127706,761.287638,-0.622755,869.53005
3716132456.292,8.9210000038147,-89.872067,761.024552,-0.447336,869.196995
3716132456.322,8.95100021362305,-85.8055,761.112212,0.131555,869.12685
3716132456.352,8.9810004234314,-84.449951,761.918992,-0.412253,869.407323
3716132456.384,9.01300001144409,-81.061139,761.410394,0.078926,869.547507
3716132456.416,9.04500007629395,-81.738893,761.708523,0.131555,869.407323
3716132456.447,9.07600021362305,-83.094442,761.743619,0.043843,869.950602
3716132456.477,9.1060004234314,-83.772197,761.199925,-0.236827,869.337178
3716132456.505,9.13400030136108,-91.227616,761.813758,-0.429791,868.846482
3716132456.535,9.16400003433228,-85.8055,761.480533,0.1491,869.267139
3716132456.563,9.19200038909912,-81.738893,761.357777,-0.32454,869.985727
3716132456.592,9.22100019454956,-87.161009,760.796562,-0.499959,869.547507
3716132456.621,9.25,-87.161009,761.97161,0.026304,868.75888
3716132456.65,9.2790002822876,-85.127706,761.726098,-0.061409,869.232014
3716132456.68,9.30900001525879,-79.027835,761.515629,-0.499959,869.827981
3716132456.712,9.34100008010864,-85.127706,761.357777,-0.096492,869.652671
3716132456.741,9.37000036239624,-87.161009,761.094691,-0.271911,869.53005
3716132456.77,9.39900016784668,-85.127706,761.813758,-0.026325,869.214557
3716132456.801,9.43000030517578,-83.094442,761.954088,0.131555,869.53005
3716132456.835,9.46400022506714,-82.416648,761.550672,0.377148,869.582632
3716132456.865,9.49399995803833,-80.383384,761.287638,-0.043864,869.968165
3716132456.896,9.52500009536743,-84.449951,761.182404,0.131555,869.810418
3716132456.925,9.55400037765503,-86.483255,761.147308,-0.622755,869.09183
3716132456.959,9.58800029754639,-89.194313,761.53315,-0.149121,869.179432
3716132456.991,9.62000036239624,-88.516558,761.638385,-0.026325,868.864045
3716132457.018,9.64700031280518,-84.449951,762.024227,0.043843,869.56507
3716132457.047,9.67600011825562,-80.383384,761.585768,-0.061409,870.020747
3716132457.077,9.70600032806397,-86.483255,760.621189,-0.517504,869.722816
3716132457.105,9.73400020599365,-91.90537,761.357777,-0.114038,868.811462
3716132457.136,9.76500034332275,-85.127706,761.375299,-0.32454,869.477468
3716132457.168,9.79700040817261,-82.416648,761.427916,-0.114038,869.670234
3716132457.198,9.8270001411438,-81.738893,761.515629,-0.026325,869.950602
3716132457.227,9.8560004234314,-88.516558,761.16483,-0.32454,869.372304
3716132457.262,9.89100027084351,-90.549861,761.392873,-0.412253,869.232014
3716132457.291,9.92000007629395,-88.516558,761.375299,-0.763097,869.214557
3716132457.32,9.94900035858154,-84.449951,761.427916,-0.464875,869.179432
3716132457.348,9.97700023651123,-80.383384,762.076844,0.201723,869.670234
3716132457.378,10.0069999694824,-85.127706,761.410394,-0.32454,869.722816
3716132457.41,10.0390000343323,-89.194313,761.498054,-0.850803,869.021685
3716132457.44,10.0690002441406,-86.483255,761.708523,-0.815719,869.424886
3716132457.47,10.0989999771118,-85.127706,761.796236,-0.32454,869.477468
3716132457.498,10.1270003318787,-82.416648,761.568246,0.166639,869.863
3716132457.527,10.1560001373291,-85.8055,760.989456,-0.254373,869.512488
3716132457.557,10.1860003471375,-88.516558,761.042074,-0.552588,869.302159
3716132457.585,10.2140002250671,-84.449951,761.270064,0.026304,869.372304
3716132457.616,10.2450003623962,-81.738893,761.620863,0.570112,869.89802
3716132457.645,10.2740001678467,-86.483255,761.059648,-0.412253,869.863
3716132457.676,10.3050003051758,-87.838804,760.989456,-0.342085,869.424886
3716132457.704,10.3330001831055,-89.872067,761.427916,-0.307002,869.319722
3716132457.736,10.3650002479553,-85.8055,762.024227,0.096471,869.459905
3716132457.766,10.3949999809265,-84.449951,761.427916,-0.16666,869.600089
3716132457.796,10.4250001907349,-82.416648,761.30516,0.078926,870.108348
3716132457.822,10.451000213623,-90.549861,761.410394,-0.342085,869.09183
3716132457.852,10.4810004234314,-85.127706,761.673481,0.27189,869.424886
3716132457.882,10.5110001564026,-83.772197,761.16483,0.640279,869.442343
3716132457.911,10.539999961853,-85.8055,761.129787,0.131555,869.600089
3716132457.944,10.5729999542236,-84.449951,760.796562,-0.307002,869.600089
3716132457.973,10.6020002365112,-88.516558,761.53315,-0.535049,869.196995
3716132458.003,10.6319999694824,-84.449951,761.655906,-0.184205,869.757836
3716132458.033,10.6620001792908,-85.8055,761.375299,0.289435,869.494925
3716132458.061,10.6900000572205,-85.8055,761.235021,-0.289456,869.477468
3716132458.091,10.7200002670288,-86.483255,761.16483,-0.464875,869.600089
3716132458.123,10.7520003318787,-85.8055,761.44549,-0.096492,869.477468
3716132458.153,10.7820000648499,-85.127706,761.357777,-0.307002,869.617652
3716132458.183,10.8120002746582,-83.094442,761.252543,0.201723,869.53005
3716132458.214,10.8430004119873,-85.127706,761.498054,-0.131576,869.845438
3716132458.243,10.8720002174377,-86.483255,761.024552,-0.00878,869.407323
3716132458.273,10.9019999504089,-91.227616,761.059648,-0.412253,869.319722
3716132458.301,10.9300003051758,-85.127706,761.427916,0.236806,869.53005
3716132458.331,10.960000038147,-82.416648,761.463012,0.201723,869.705254
3716132458.362,10.9910001754761,-87.161009,761.322681,0.1491,869.53005
3716132458.392,11.0210003852844,-87.161009,760.831605,-0.447336,869.863
3716132458.423,11.0520000457764,-91.227616,761.708523,-0.201744,869.635109
3716132458.452,11.081000328064,-85.127706,761.147308,0.008759,869.249577
3716132458.482,11.1110000610352,-82.416648,761.691002,0.447315,869.56507
3716132458.511,11.1400003433228,-80.383384,761.778715,0.131555,870.248638
3716132458.543,11.1720004081726,-87.161009,761.515629,-0.342085,869.600089
3716132458.573,11.2020001411438,-89.872067,761.691002,-0.535049,869.337178
3716132458.6,11.2290000915527,-84.449951,761.53315,-0.131576,869.407323
3716132458.633,11.2620000839233,-83.094442,761.655906,0.394687,869.792855
