frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,125.1,,,,,,,,,,,,,,,,,,,40,35,282,2.3196619764096074,18.68984792421455,,,,,,,,,,,,,
1,125.1,,,,,,,,,,,,,,,,,,,64,56,286,,,,,,,,,,,,,,,
2,226.9,,,,,,,,,,,,,,,,,,,32,42,738,,,,,,,,,,,,,,,
3,248.9,,,,,,,,,,,,,,,,,,,40,151,11,10.007684526795735,0.7290366211573052,,,,,,,,,,,,,
25,1010.9,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,15,930,614,61.63673251602671,40.693498671871396,0.0,-0.3302203667287577,0.0,-6.630931058810395,,,,,,,,,,,,,,,,,,
26,1043.0,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
27,1079.0,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,0.13866439505467465,0.0,2.7760639650585515,,,,,,,,,,,,,,,,,,
28,1111.0,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,-0.33104923311110906,0.0,6.614370291930249,,,,,,,,,,,,,,,,,,
29,1210.8,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
30,1253.2,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.15946571356417877,0.0,-2.537242857027506,,,,,,,,,,,,,,,,,,
31,1311.2,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.11410633141276519,0.0,-2.16726175522821,,,,,,,,,,,,,,,,,,
32,1343.0,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
33,1378.9,15,778,190,51.56277193276213,12.592450729080726,0.0,-0.36911388117562777,0.0,-5.872933670256606,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
34,1416.5,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
35,1445.1,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
36,1478.9,15,778,189,51.56277193276213,12.52617467261188,0.0,-0.3312145093165429,0.0,6.630921107438306,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
37,1510.8,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,-0.32214666391478936,0.0,-6.832378874120669,,,,,,,,,,,,,,,,,,
38,1548.8,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
39,1578.8,15,778,189,51.56277193276213,12.52617467261188,0.0,0.21629549182764551,0.0,4.330240076629546,14,930,614,61.63673251602671,40.693498671871396,0.0,-0.21629549182763974,0.0,-4.33024007662943,,,,,,,,,,,,,,,,,,
40,1610.7,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,-0.16360455829367737,0.0,10.006395002671454,,,,,,,,,,,,,,,,,,
41,1644.9,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
42,1710.8,15,778,190,51.56277193276213,12.592450729080726,0.0,0.22006556467734104,0.0,-4.273117760725069,14,930,613,61.63673251602671,40.62722261540255,0.0,-0.22006556467733512,0.0,4.273117760724954,,,,,,,,,,,,,,,,,,
43,1743.3,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,-0.15702949398567817,0.0,-9.907223595310983,,,,,,,,,,,,,,,,,,
44,1779.0,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
45,1813.8,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,0.3513399745179379,0.0,6.822135427532776,,,,,,,,,,,,,,,,,,
46,1844.2,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,-0.3753023803213522,0.0,5.580704540094456,,,,,,,,,,,,,,,,,,
47,1878.9,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
48,1910.9,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.39377008974755634,0.0,-5.948188666881522,,,,,,,,,,,,,,,,,,
49,1978.7,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,0.25225651106243724,0.0,3.75102618680204,,,,,,,,,,11,1077,878,71.37931281694706,58.19037757964672,,,,
50,2016.5,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,11,1054,869,69.8549635181636,57.59389307142711,,,,
51,2043.3,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,12,1032,856,68.39689027584899,56.73230433733211,,,,
52,2111.1,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.21697985126611316,0.0,-4.283906244148327,,,,,,,,,,12,1002,825,66.40860858178361,54.67774658679789,-29.24661170421276,-26.32635824196582,125.32434505956618,3.082890080932485
53,2143.2,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,12,989,809,65.54701984768862,53.617329683296354,-28.015281788299557,-27.830705165134727,94.48858964304083,56.11613157608281
54,2178.7,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,12,977,796,64.75170717006247,52.75574094920135,-22.799555784958212,-25.276828846340862,60.88674865687936,60.44574556008986
55,2212.4,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,12,967,785,64.088946605374,52.02670432804405,-20.677381415483786,-23.406788617874277,43.860853138438806,54.55915580438898
56,2343.0,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,13,933,742,61.83556068543325,49.176833899883675,-16.345622031150192,-13.59358006718013,22.32482133943525,86.39763316820746
57,2388.8,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,13,925,736,61.30535223368248,48.779177561070604,-14.862457559109943,-9.753242378302494,14.668684240295876,87.32756684389247
58,2411.5,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,13,918,731,60.84141983840056,48.44779727872637,-11.645376446839963,-9.275650213231126,46.86747402021347,87.39100396098684
59,2443.1,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,13,910,728,60.311211386649795,48.24896910931983,-11.251967071992857,-6.993590146619384,79.44650651585629,45.47029731252678
60,2482.3,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,13,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,13,905,728,59.97983110430556,48.24896910931983,-10.16642462542821,-6.064092101718033,85.7812180844471,-8.415261462406688
61,2543.1,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,13,901,724,59.71472687843018,47.98386488344445,-5.556870631549758,-4.232987753073045,45.66300949483527,-10.754796359800121
62,2578.6,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,13,898,720,59.51589870902364,47.718760657569064,-3.9647333552125708,-4.712489593626713,28.11413875027338,-11.800916456546407
63,2612.6,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,-0.06762225308912853,0.0,-1.0379470926957586,,,,,,,,,,12,896,715,59.38334659608595,47.387380375224836,-2.6444461150166916,-6.8327025537731485,29.67509059416431,-3.3822896052083102
64,2742.9,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,12,898,708,59.51589870902364,46.923447979942914,0.9926483919666236,-7.45763385153165,19.897741491314648,-21.523943364510206
65,2842.8,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,13,930,614,61.63673251602671,40.693498671871396,0.0,0.0,0.0,0.0,,,,,,,,,,12,897,695,59.449622652554794,46.06185924584792,3.43956785526709,-7.583039889433017,27.936589565242542,-9.929214473100078
